slice_idx,num_points,x_mm,y_mm,z_mm
14,74,-87.3299,-22.3713,37.9024
14,74,-87.8299,-22.8712,37.9119
14,74,-87.8299,-24.8712,37.9236
14,74,-88.3298,-25.3712,37.9332
14,74,-88.3298,-25.8712,37.9361
14,74,-88.8298,-26.3711,37.9456
14,74,-88.8298,-26.8711,37.9485
14,74,-89.3297,-27.3710,37.9581
14,74,-89.3297,-27.8710,37.9610
14,74,-90.3297,-28.8709,37.9800
14,74,-90.8296,-28.8709,37.9867
14,74,-94.3293,-32.3706,38.0534
14,74,-94.8293,-32.3705,38.0600
14,74,-95.3292,-32.8705,38.0695
14,74,-96.3291,-32.8704,38.0827
14,74,-96.8291,-33.3704,38.0922
14,74,-97.3290,-33.3703,38.0988
14,74,-97.8290,-33.8703,38.1084
15,53,-100.7851,-32.3508,41.4389
15,53,-101.2851,-31.8508,41.4426
15,53,-103.2849,-31.8506,41.4690
15,53,-103.7849,-31.3506,41.4727
15,53,-105.2847,-31.3505,41.4925
15,53,-106.7846,-29.8504,41.5036
15,53,-106.7846,-29.3504,41.5007
15,53,-111.2842,-24.8501,41.5338
15,53,-111.2842,-24.3501,41.5309
15,53,-112.2841,-23.3501,41.5383
15,53,-112.2841,-22.3501,41.5324
15,53,-112.7841,-21.8500,41.5361
15,53,-112.7841,-20.8501,41.5303
15,53,-113.2840,-20.3500,41.5340
15,53,-113.2840,-17.3501,41.5164
