slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
16,0,1,-100.1747,-17.7448,3.5626
16,0,1,-99.5184,-18.3826,3.3422
16,0,1,-102.1436,-39.4588,0.2308
16,0,1,-102.7999,-40.1336,0.2293
16,0,1,-102.7999,-43.4152,-0.3253
16,0,1,-103.4562,-44.0900,-0.3267
16,0,1,-103.4562,-44.7464,-0.4376
16,0,1,-106.0814,-47.4456,-0.4434
16,0,1,-106.7377,-47.4641,-0.3340
16,0,1,-108.7066,-49.4886,-0.3383
16,0,1,-111.3318,-49.5626,0.0996
16,0,1,-111.9881,-50.2374,0.0981
16,0,1,-112.6444,-50.2559,0.2076
16,0,1,-113.3007,-49.6181,0.4280
16,0,1,-113.9570,-49.6366,0.5374
16,0,1,-119.8638,-51.7720,1.1899
16,0,1,-120.5201,-51.7905,1.2994
17,0,1,-128.4399,-51.3040,-1.5798
17,0,1,-129.0962,-50.6662,-1.3594
17,0,1,-130.4088,-50.7032,-1.1404
17,0,1,-131.0651,-50.0653,-0.9201
17,0,1,-132.3777,-50.1023,-0.7011
17,0,1,-133.0340,-49.4645,-0.4807
17,0,1,-133.6903,-49.4830,-0.3713
17,0,1,-134.3466,-48.8452,-0.1509
17,0,1,-135.0029,-48.8637,-0.0414
17,0,1,-135.6592,-48.2259,0.1790
17,0,1,-136.3155,-48.2444,0.2884
17,0,1,-139.5970,-45.0553,1.3903
17,0,1,-139.5970,-44.3990,1.5013
17,0,1,-140.9096,-43.1233,1.9420
17,0,1,-140.9096,-42.4670,2.0529
17,0,1,-143.5348,-39.9157,2.9345
17,0,1,-143.5348,-39.2594,3.0454
17,0,1,-144.1911,-38.6216,3.2658
17,0,1,-144.1911,-37.9653,3.3767
17,0,1,-144.8474,-37.3275,3.5971
17,0,1,-144.8474,-36.6711,3.7080
17,0,1,-146.1600,-35.3955,4.1488
17,0,1,-146.1600,-32.7702,4.5924
17,0,1,-145.5037,-32.0954,4.5939
17,0,1,-145.5037,-30.7828,4.8157
17,0,1,-133.0340,-6.1475,6.8397
17,0,1,-131.0651,-4.1230,6.8440
17,0,1,-130.4088,-4.1045,6.7346
17,0,1,-129.7525,-3.4297,6.7360
17,0,1,-128.4399,-3.3927,6.5171
17,0,1,-127.7836,-2.7179,6.5185
17,0,1,-126.4710,-2.6809,6.2996
17,0,1,-125.8147,-2.0061,6.3010
17,0,1,-121.2206,-1.8766,5.5348
17,0,1,-120.5643,-1.2018,5.5362
17,0,1,-119.9080,-1.1833,5.4268
17,0,1,-118.5954,-1.1463,5.2078
17,0,1,-117.2828,-1.1093,4.9889
17,0,1,-116.6265,-1.7471,4.7685
17,0,1,-115.9702,-1.7286,4.6590
17,0,1,-114.6576,-3.0042,4.2183
